,C6orf223,KRT7,cg18949415,cg22193385
1,11.44478183,1.148262051,0.2803264,0.08120475
2,4.28403646,0.54592928,0.180035,0.04245445
3,5.693218254,1.448000451,0.1167376,0.03255763
4,32.74421607,1.210866145,0.1394248,0.03568834
5,21.19929811,0.689793711,0.1120432,0.03762228
6,3.033382282,59.018891,0.36816,0.08006771
7,2.006223683,0.282210337,0.4967165,0.07361367
8,3.05376692,0.563558661,0.1133345,0.04091778
9,8.655174582,1.413707897,0.122092,0.08813878
10,13.85058948,1.347436081,0.256283,0.03955433
11,4.211265755,0.568440644,0.2457278,0.07343106
12,15.0087008,0.33070501,0.09977245,0.2007323
13,5.180154616,0.23034415,0.202653,0.1157781
14,9.166592525,6.588271561,0.2079656,0.04779607
15,15.53642215,1.280794384,0.1998612,0.1233604
16,10.31707477,1.518990466,0.1349807,0.0692279
17,21.05675418,2.796326966,0.2358339,0.03411109
18,5.775856284,2.334889307,0.1774561,0.04766674
19,8.806410007,4.863029271,0.1688861,0.05366508
20,2.291130224,0.427278054,0.2195484,0.03807076
21,4.202565967,0.919892276,0.2998105,0.080758
22,7.766257368,4.529538308,0.2054071,0.03957907
23,3.059649036,0.479140917,0.2383771,0.02532125
24,1.20927118,0.462908889,0.1782828,0.03576286
25,8.761875842,0.405412305,0.1845478,0.05783633
26,3.767010419,0.219967813,0.1890101,0.1289124
27,21.10607,2.4020482,0.3129811,0.3684394
28,15.03719005,3.051642193,0.1351349,0.04734763
29,8.344740937,0.184716616,0.1492012,0.1574488
30,10.58449436,0.231290973,0.1249135,0.124065
31,1.215404859,0.662549328,0.2603588,0.0813509
32,3.67119734,2.665166215,0.3950116,0.1454894
33,23.00940942,1.810971677,0.1452622,0.05083638
34,15.41396763,1.400013557,0.08815296,0.03877138
35,4.385699717,0.184418626,0.09929673,0.1256342
36,18.34829167,0.760543745,0.1697419,0.2044312
37,11.90666216,54.0305658,0.2436844,0.04707658
38,2.114877075,7.909443566,0.2138989,0.04231614
39,12.8230264,0.503477696,0.1213156,0.2738591
40,5.957430053,1.336073243,0.3086255,0.08430735
41,9.811875071,2.766587417,0.1768959,0.03831611
42,6.636009415,1.235745905,0.1931517,0.04790467
43,17.45233052,1.111528666,0.2397762,0.06046186
44,13.09005411,0.589392637,0.1558536,0.04920055
45,14.36572102,0.675076746,0.2226943,0.1091731
46,11.70498497,0.539319584,0.2402963,0.08015103
47,11.36277415,0.353544511,0.1466937,0.2979437
48,13.68094526,0.784072642,0.279228,0.1200172
49,10.3326353,1.748823553,0.2195135,0.3671298
50,7.178361392,0.638896686,0.2205451,0.08608214
51,4.191554648,2.143914348,0.3062489,0.131312
52,23.50679158,0.139428044,0.1247014,0.3274172
53,20.75324409,0.266975046,0.08599203,0.2933211
54,10.06208004,0.076121804,0.1286634,0.2295688
55,1.334931363,0.60200107,0.3922638,0.3167982
56,7.673345551,0.518108137,0.113227,0.03703818
57,14.8815557,2.38689973,0.1520667,0.02892419
58,5.306050262,3.271729169,0.3159829,0.07042647
