	C6orf223	CLVS2	FCRL1	KCNQ5	KRT7	NRG1	cg18949415	cg03469655	cg09340639	cg17969913	cg22394948	cg22193385	cg20127899
1	11.44478183	0.003934762	0.482340769	0.05074257	1.148262051	0.107710971	0.2803264	0.236819557	0.1363514	0.5336587	0.4479922	0.08120475	0.3764858
2	4.28403646	0	0.133611692	0.00289389	0.54592928	0.027074021	0.180035	0.372562215	0.05068942	0.7801224	0.161188	0.04245445	0.1380965
3	5.693218254	0	0.008509273	0.008846496	1.448000451	0.100499257	0.1167376	0.190202467	0.06528194	0.1564945	0.2080192	0.03255763	0.06372035
4	32.74421607	0	0	0.005455829	1.210866145	0.020052387	0.1394248	0.216620392	0.04750224	0.419257	0.2938277	0.03568834	0.113314
5	21.19929811	0	0.023144859	0	0.689793711	0.094467823	0.1120432	0.196490615	0.05238865	0.4224352	0.2874699	0.03762228	0.1756232
6	3.033382282	0	0.175738478	0.656069918	59.018891	0.310780456	0.36816	0.532871262	0.1429375	0.6073424	0.5694987	0.08006771	0.2250857
7	2.006223683	0.003297493	0.024060802	0	0.282210337	1.330591225	0.4967165	0.334159183	0.07635545	0.243904	0.3682588	0.07361367	0.3678438
8	3.05376692	0	0.075366892	0	0.563558661	0.107629498	0.1133345	0.267878947	0.05014025	0.5789383	0.2507847	0.04091778	0.2576091
9	8.655174582	0	0.029606814	0.005130023	1.413707897	0.116557665	0.122092	0.588441078	0.06278073	0.6117898	0.4340633	0.08813878	0.2197528
10	0.049121986	0.024368331	0.044452078	0.113223612	0.226501421	0.466326944	0.4740483	0.757664201	0.3302884	0.8551432	0.7097138	0.2256045	0.5928536
11	13.85058948	0	0.309642332	0.101656893	1.347436081	0.350986098	0.256283	0.235588454	0.08144209	0.4253443	0.3560101	0.03955433	0.07460128
12	4.211265755	0.015933233	0.086364542	0.048346943	0.568440644	0.235387715	0.2457278	0.438200018	0.2053301	0.5175159	0.4150889	0.07343106	0.4495008
13	1.117127219	0.14828116	0.048087226	0.156227902	0.277385637	0.434304742	0.4775584	0.739014345	0.4183344	0.78672	0.589549	0.1318135	0.7531777
14	15.0087008	0	0.046484275	0	0.33070501	0.067818292	0.09977245	0.09133229	0.04669303	0.09910239	0.1512601	0.2007323	0.1988089
15	5.180154616	0.057105781	0.354181013	0.11371415	0.23034415	0.879314285	0.202653	0.193377315	0.110146	0.322416	0.305493	0.1157781	0.2434795
16	9.166592525	0	0	0	6.588271561	0.439866705	0.2079656	0.170585323	0.06301744	0.3537187	0.3186492	0.04779607	0.2949791
17	0.277457199	0.038964373	0.254526212	0.084450995	0.150985641	0.522962982	0.3571179	0.665629977	0.2068253	0.7722689	0.6949741	0.1992799	0.5514536
18	15.53642215	0	0.011584534	0.024087262	1.280794384	0.824942996	0.1998612	0.22529038	0.08880061	0.4447643	0.2693819	0.1233604	0.2803831
19	0.199925235	0.042782877	0.085847757	0.150102128	0.075030745	0.169436816	0.2942648	0.827411466	0.3785506	0.8715189	0.6773223	0.1611608	0.7202411
20	10.31707477	0.006852337	0.039999537	0.031188542	1.518990466	0.156314397	0.1349807	0.247454499	0.08496815	0.6453966	0.3511927	0.0692279	0.2812699
21	21.05675418	0	0	0.059997517	2.796326966	0.088206095	0.2358339	0.374056654	0.09155225	0.4788284	0.4225322	0.03411109	0.09267153
22	0.11432326	0.012476913	0.67369782	0.125408841	0.288835357	0.972456176	0.4227288	0.719036601	0.3810205	0.8560149	0.7804174	0.2405353	0.5845891
23	5.775856284	0	0.120369957	0.003680595	2.334889307	0.172170492	0.1774561	0.150872321	0.1138156	0.2906933	0.3435941	0.04766674	0.1635363
24	8.806410007	0.008117452	0.059230585	0.01231558	4.863029271	0.144024228	0.1688861	0.199691676	0.1295992	0.2956305	0.3227056	0.05366508	0.1549174
25	2.291130224	0.032057358	0.093565121	0.261421505	0.427278054	0.767851609	0.2195484	0.307439979	0.1748821	0.6064038	0.4609622	0.03807076	0.2699462
26	0.041213452	0.012298995	0.16409971	0.047982094	0.083812684	0.333112507	0.3743236	0.70299211	0.4401762	0.8467295	0.7286887	0.2793668	0.6304179
27	4.202565967	0.026683777	0.133510916	0.057834154	0.919892276	0.115944	0.2998105	0.51572016	0.236306	0.6335462	0.5348118	0.080758	0.3566485
28	1.020843873	0.026781725	0.08250987	0.101581279	0.112724693	0.449531433	0.4326978	0.795330038	0.3846606	0.8572646	0.7391889	0.1420766	0.5126765
29	7.766257368	0	0.232662247	0.016492001	4.529538308	0.229601515	0.2054071	0.181789244	0.06967929	0.5844666	0.5573449	0.03957907	0.3976136
30	0.325702351	0.018279307	0.065663287	0.098131701	0.074965118	0.57308651	0.3184176	0.734077637	0.2492065	0.8856115	0.6594536	0.2869418	0.6201988
31	3.059649036	0.011383682	0.249189806	0.040299035	0.479140917	0.136573866	0.2383771	0.326364917	0.06642431	0.3160235	0.4164156	0.02532125	0.1511094
32	1.20927118	0.022912568	0	0.097334527	0.462908889	0.185840992	0.1782828	0.257072959	0.06398929	0.2496629	0.4306997	0.03576286	0.1261678
33	8.761875842	0.010571706	0.020570274	0.106927381	0.405412305	0.192928032	0.1845478	0.319553308	0.2998447	0.2617318	0.3787736	0.05783633	0.3483444
34	3.767010419	0.152428235	0.495733476	0.211437724	0.219967813	0.94490666	0.1890101	0.39350264	0.344328	0.3916861	0.529671	0.1289124	0.4514118
35	21.10607	0.002108465	0.012307864	0.00959672	2.4020482	0.489530405	0.3129811	0.373200741	0.07313048	0.7465707	0.4332973	0.3684394	0.2763383
36	15.03719005	0.00710809	0.134850495	0.016176304	3.051642193	0.212594831	0.1351349	0.148922806	0.08315462	0.6560038	0.2934932	0.04734763	0.3084141
37	8.344740937	0	0.006404448	0.019974772	0.184716616	0.540604289	0.1492012	0.705315286	0.09452988	0.3210346	0.2673425	0.1574488	0.2158926
